annotator	title	base_ID	left_ID	right_ID	Form	Content	Emotion	Style	Overall	triple_ID	Runde
SW	Sehnsucht	l0020119	l0090085	l00200112	right	right	right	right	right	l0090085l0020119l00200112	Runde 1
SW	Schicksalswende	l00140028	l00140156	l00130138	left	left	left	same	left	l00140156l00140028l00130138	Runde 1
SW	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	same	left	same	same	same	l0080549l00180091l00140066	Runde 1
SW	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	left	left	same	same	left	l00140078l00140084l00190035	Runde 1
SW	Der Frühling	l0080503	l00100009	l0040505	left	left	same	same	left	l00100009l0080503l0040505	Runde 1
SW	Letzte Fahrt	l0030218	l0030433	l00200188	same	left	left	left	left	l0030433l0030218l00200188	Runde 1
SW	Lied des Adlers:	l00180060	l00200135	l0080412	right	left	same	left	left	l00200135l00180060l0080412	Runde 1
SW	Triumph	l0030237	l00170195	l00130288	same	same	same	same	same	l00170195l0030237l00130288	Runde 1
SW	Alte Heimath	l00200021	l0030017	l00170194	same	left	left	left	left	l0030017l00200021l00170194	Runde 1
SW	Raub	l00170200	l00170061	l0080134	right	right	same	right	right	l00170061l00170200l0080134	Runde 1
SW	Geheimnis	l0030084	l0080129	l00200184	right	right	same	right	right	l0080129l0030084l00200184	Runde 1
SW	Die junge Mutter	l0020161	l00180062	l00160041	right	same	left	same	right	l00180062l0020161l00160041	Runde 1
SW	Sieben Billionen Jahre vor meiner Geburt	l0040294	l0080132	l0010262	same	same	same	same	same	l0080132l0040294l0010262	Runde 1
SW	Du findest zuletzt noch eine Bank	l00180051	l0010042	l0060062	right	same	right	right	right	l0010042l00180051l0060062	Runde 1
SW	Meine Finger krümme ich zum Spiele	l00180104	l0020001	l0040217	same	same	same	left	left	l0020001l00180104l0040217	Runde 1
SW	Der Brunnen	l0030127	l0040304	l0040520	right	same	right	left	left	l0040304l0030127l0040520	Runde 1
SW	Trost	l00160282	l0010076	l00140026	left	left	same	left	left	l0010076l00160282l00140026	Runde 1
SW	Eitelkeit	l00100106	l00200340	l00140177	same	same	same	same	same	l00200340l00100106l00140177	Runde 1
SW	Tausch	l0080044	l00170112	l0080333	left	right	right	left	left	l00170112l0080044l0080333	Runde 1
SW	Abendhimmel	l0030113	l0070130	l00160172	left	same	same	left	left	l0070130l0030113l00160172	Runde 1
SP	Sehnsucht	l0020119	l0090085	l00200112	right	right	right	right	right	l0090085l0020119l00200112	Runde 1
SP	Schicksalswende	l00140028	l00140156	l00130138	left	left	left	left	left	l00140156l00140028l00130138	Runde 1
SP	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	left	left	left	right	left	l0080549l00180091l00140066	Runde 1
SP	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	left	left	same	right	left	l00140078l00140084l00190035	Runde 1
SP	Der Frühling	l0080503	l00100009	l0040505	left	left	same	left	left	l00100009l0080503l0040505	Runde 1
SP	Letzte Fahrt	l0030218	l0030433	l00200188	same	left	left	right	same	l0030433l0030218l00200188	Runde 1
SP	Lied des Adlers:	l00180060	l00200135	l0080412	same	same	same	left	same	l00200135l00180060l0080412	Runde 1
SP	Triumph	l0030237	l00170195	l00130288	same	same	same	same	same	l00170195l0030237l00130288	Runde 1
SP	Alte Heimath	l00200021	l0030017	l00170194	left	same	left	right	same	l0030017l00200021l00170194	Runde 1
SP	Raub	l00170200	l00170061	l0080134	right	right	right	right	right	l00170061l00170200l0080134	Runde 1
SP	Geheimnis	l0030084	l0080129	l00200184	right	right	same	right	right	l0080129l0030084l00200184	Runde 1
SP	Die junge Mutter	l0020161	l00180062	l00160041	right	same	same	left	same	l00180062l0020161l00160041	Runde 1
SP	Sieben Billionen Jahre vor meiner Geburt	l0040294	l0080132	l0010262	same	same	same	same	same	l0080132l0040294l0010262	Runde 1
SP	Du findest zuletzt noch eine Bank	l00180051	l0010042	l0060062	same	same	left	same	same	l0010042l00180051l0060062	Runde 1
SP	Meine Finger krümme ich zum Spiele	l00180104	l0020001	l0040217	left	same	same	left	same	l0020001l00180104l0040217	Runde 1
SP	Der Brunnen	l0030127	l0040304	l0040520	left	same	same	right	same	l0040304l0030127l0040520	Runde 1
SP	Trost	l00160282	l0010076	l00140026	left	left	right	same	left	l0010076l00160282l00140026	Runde 1
SP	Eitelkeit	l00100106	l00200340	l00140177	same	same	same	same	same	l00200340l00100106l00140177	Runde 1
SP	Tausch	l0080044	l00170112	l0080333	left	same	right	left	same	l00170112l0080044l0080333	Runde 1
SP	Abendhimmel	l0030113	l0070130	l00160172	left	same	same	right	same	l0070130l0030113l00160172	Runde 1
AH	Sehnsucht	l0020119	l0090085	l00200112	right	right	right	right	right	l0090085l0020119l00200112	Runde 1
AH	Schicksalswende	l00140028	l00140156	l00130138	left	left	left	left	left	l00140156l00140028l00130138	Runde 1
AH	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	same	same	same	same	same	l0080549l00180091l00140066	Runde 1
AH	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	left	left	left	same	left	l00140078l00140084l00190035	Runde 1
AH	Der Frühling	l0080503	l00100009	l0040505	left	left	same	right	left	l00100009l0080503l0040505	Runde 1
AH	Letzte Fahrt	l0030218	l0030433	l00200188	same	same	left	left	same	l0030433l0030218l00200188	Runde 1
AH	Lied des Adlers:	l00180060	l00200135	l0080412	right	same	same	same	same	l00200135l00180060l0080412	Runde 1
AH	Triumph	l0030237	l00170195	l00130288	same	right	right	same	same	l00170195l0030237l00130288	Runde 1
AH	Alte Heimath	l00200021	l0030017	l00170194	same	same	left	left	left	l0030017l00200021l00170194	Runde 1
AH	Raub	l00170200	l00170061	l0080134	right	same	right	right	right	l00170061l00170200l0080134	Runde 1
AH	Geheimnis	l0030084	l0080129	l00200184	right	right	left	same	right	l0080129l0030084l00200184	Runde 1
AH	Die junge Mutter	l0020161	l00180062	l00160041	right	left	left	same	same	l00180062l0020161l00160041	Runde 1
AH	Sieben Billionen Jahre vor meiner Geburt	l0040294	l0080132	l0010262	same	same	same	same	same	l0080132l0040294l0010262	Runde 1
AH	Du findest zuletzt noch eine Bank	l00180051	l0010042	l0060062	left	right	left	same	right	l0010042l00180051l0060062	Runde 1
AH	Meine Finger krümme ich zum Spiele	l00180104	l0020001	l0040217	left	same	same	same	same	l0020001l00180104l0040217	Runde 1
AH	Der Brunnen	l0030127	l0040304	l0040520	same	same	same	same	same	l0040304l0030127l0040520	Runde 1
AH	Trost	l00160282	l0010076	l00140026	left	same	right	left	same	l0010076l00160282l00140026	Runde 1
AH	Eitelkeit	l00100106	l00200340	l00140177	same	same	same	same	same	l00200340l00100106l00140177	Runde 1
AH	Tausch	l0080044	l00170112	l0080333	same	same	left	left	left	l00170112l0080044l0080333	Runde 1
AH	Abendhimmel	l0030113	l0070130	l00160172	left	left	right	same	same	l0070130l0030113l00160172	Runde 1
AB	Sehnsucht	l0020119	l0090085	l00200112	right	right	right	same	right	l0090085l0020119l00200112	Runde 1
AB	Schicksalswende	l00140028	l00140156	l00130138	same	same	left	left	left	l00140156l00140028l00130138	Runde 1
